ID,i
423522,1132
424880,325
424992,2067
425170,2059
425194,719
425225,2627
425530,461
426055,2058
426145,885
426494,912
426654,13
426798,661
427367,2625
427683,1578
428262,718
428515,687
428787,1575
428823,2631
429443,1145
429502,1100
429677,111
430921,2846
431659,2202
432314,526
433236,1573
433259,553
433662,123
433721,1982
433827,1134
434455,1108
434477,3870
434653,559
435462,1457
435741,3607
436699,2065
436966,3449
436998,1136
437094,11
437780,1504
437924,193
438119,3446
438137,121
438138,1606
438623,1065
438627,2216
438652,561
440129,104
440292,3987
440565,546
441487,363
442022,743
442236,1138
442365,2902
442374,3988
442499,1971
443133,1144
443852,204
443935,3986
445280,2189
445312,2072
445448,92
445486,90
445878,398
446143,3202
447092,3869
447171,122
447224,486
447837,1066
448160,1130
448282,1112
448318,1249
448411,2084
448517,1984
448782,429
448996,3326
449276,558
449364,657
450055,520
450105,1055
451554,1455
452058,82
452169,472
452180,1064
452901,2197
453781,110
453789,2190
453882,737
454474,2192
454808,1500
454812,1242
454916,1052
455313,1041
455563,100
455603,91
455625,1742
455845,109
456808,567
456825,586
456984,118
457171,1051
458021,3581
458826,2074
459183,1571
459421,678
459501,467
459617,2083
459682,16
460385,1519
460918,1097
460965,2082
461168,1073
461606,673
461723,1047
462290,2199
463619,101
463633,615
463657,2078
464056,1050
464309,750
465153,677
465158,1029
465262,1599
465265,2206
465316,1077
465475,106
465515,2210
466293,1237
466461,3361
466580,1053
466840,4
466941,1105
467289,3881
468246,1048
468408,2080
468485,667
468608,102
468771,1042
469052,916
469310,1990
469339,1250
469444,2215
469718,8
469879,5
471165,2073
471626,1238
471767,1086
472266,98
472279,493
472392,659
472876,1252
473114,1040
473242,3882
473519,17
474687,1380
474750,1453
475006,663
475972,1045
477125,478
477130,572
478302,539
478411,424
478769,2208
478776,1503
478944,26
479881,507
479975,532
480376,3451
480904,2188
481172,977
481664,84
481762,1254
482216,689
482220,550
483016,798
483133,1499
483395,2857
484953,2081
485277,3868
485406,594
486067,1302
486110,9
486152,612
486183,2194
486220,1031
486302,814
486761,1595
486799,613
487345,197
487555,602
487714,517
487826,3412
488464,3874
488484,195
488986,3408
489491,1251
490038,1071
490692,2191
491067,1245
491819,1006
493877,625
493981,1502
494175,1068
494577,1244
495257,1034
495303,15
495324,590
495819,796
495826,1667
495949,1532
495977,608
496777,3606
496984,1139
496985,1313
496988,68
497397,1120
498062,1049
498351,1590
498569,1253
498946,623
499247,518
500252,2085
500685,1987
501080,988
501683,1597
502241,1369
502297,1988
502321,1036
502554,1248
503415,556
503528,3157
503825,3867
503898,190
504794,3323
505102,1016
505243,513
505480,1740
506105,184
506438,606
506629,1624
506854,1033
507179,2858
507746,2079
508074,543
508208,189
508514,69
508726,1627
508809,2865
509463,1686
510152,3876
510223,3873
510520,624
510870,3872
510871,1183
510949,86
511201,1234
511632,501
511692,3877
511953,74
512031,1660
512042,2554
512384,3878
512778,3866
512840,3875
513139,2855
513787,1022
514657,3879
514705,1011
515989,932
516101,2075
516134,1594
516147,1043
516177,2087
516335,1240
516624,1007
516767,577
516894,940
516922,1258
517100,628
517617,329
517775,931
518135,854
518166,1235
519096,1335
519183,1530
519447,1625
519456,917
519494,57
519821,71
520512,738
520685,2198
520729,565
520769,10
521162,3363
521615,736
521908,1008
522060,992
522252,337
522300,2077
522534,3860
522913,1233
523113,562
523256,2205
523378,953
523903,2558
524280,1346
524423,199
526106,155
