# ID,Lx_corr,log_Lx_int,log_Lx_obs,group
267821,1.169922,43.034844,43.103001,BLU
268145,0.492000,43.520037,43.212002,BLU
268620,0.124496,44.324844,43.419998,BLU
268863,0.561246,43.204846,42.953999,BLU
271000,0.703326,44.374844,44.222000,BLU
272081,1.000000,43.569000,43.569000,BLU
272441,1.000000,43.396000,43.396000,BLU
272572,0.272369,44.144844,43.580002,BLU
272741,0.736473,43.314842,43.181999,BLU
272943,0.696000,43.738392,43.581001,BLU
273224,0.494000,43.690272,43.383999,BLU
274153,0.543000,44.099200,43.834000,BLU
276554,0.583000,43.310332,43.076000,BLU
277917,0.702000,44.331664,44.178001,BLU
278250,0.753631,44.084843,43.962002,BLU
279384,0.636000,43.593542,43.396999,BLU
279761,0.539703,44.144844,43.876999,BLU
280487,0.615400,43.624844,43.414001,BLU
280576,0.935744,43.414845,43.386002,BLU
280685,1.000000,43.097000,43.097000,BLU
281128,0.670000,44.190923,44.016998,BLU
281176,1.000000,43.833000,43.833000,BLU
282350,0.133400,43.774845,42.900002,BLU
282498,0.755368,44.154842,44.033001,BLU
282529,0.271743,43.744843,43.179001,BLU
282585,0.287182,43.784844,43.243000,BLU
283498,0.747000,43.522679,43.396000,BLU
283742,0.765870,43.394844,43.278999,BLU
283976,0.411000,43.507157,43.120998,BLU
284209,0.508344,43.264843,42.971001,BLU
284560,1.000000,43.773998,43.773998,BLU
284936,0.716400,43.784844,43.639999,BLU
285322,0.563000,43.265490,43.015999,BLU
285638,0.496000,43.706519,43.402000,BLU
285728,0.734780,44.154842,44.021000,BLU
285751,0.910240,43.624844,43.584000,BLU
286866,0.144262,44.044846,43.203999,BLU
286870,0.276795,43.134842,42.577000,BLU
287624,0.640000,44.010821,43.817001,BLU
288867,1.000000,43.951000,43.951000,BLU
288900,0.630000,44.224658,44.023998,BLU
288925,0.465753,43.994843,43.662998,BLU
288986,0.532000,43.635088,43.361000,BLU
290561,0.811000,43.306979,43.216000,BLU
290940,0.703000,43.129046,42.976002,BLU
291109,0.604000,43.535964,43.317001,BLU
291291,1.000000,43.123001,43.123001,BLU
291295,0.761000,43.506616,43.388000,BLU
291505,0.383845,43.174843,42.758999,BLU
291777,0.485000,43.676258,43.362000,BLU
291911,1.000000,43.879002,43.879002,BLU
292658,1.000000,43.953999,43.953999,BLU
293988,1.000000,43.848999,43.848999,BLU
294223,1.000000,43.605999,43.605999,BLU
294233,1.000000,43.501999,43.501999,BLU
297271,0.034686,45.204846,43.744999,BLU
297388,0.491000,43.118920,42.810001,BLU
297892,0.679000,43.786130,43.618000,BLU
298256,0.446000,43.130664,42.779999,BLU
298487,0.456000,43.848035,43.507000,BLU
299361,1.000000,43.835999,43.835999,BLU
300070,1.000000,43.368000,43.368000,BLU
301078,0.750164,43.264843,43.139999,BLU
301614,0.611161,43.364845,43.151001,BLU
301744,0.752000,44.052783,43.929001,BLU
