ID,GROUP,Z,LOG_LIR,LOG_LX,LOG_LXLIM,LOG_LXIR,LOG_NH,SIG_POS,SIG_NEG,LOG_NH_COSMOS
197038,RED,0.518,43.630513345552,42.88484201699301,nan,43.44962972030099,23.13491837807521,0.5527583475218639,0.3101070255661778,22.820201448077437
201680,RED,0.818,44.20932116930501,nan,42.199593,43.93582827707367,24.27804182875692,0.4088636795339434,0.1500463165536824,nan
204337,RED,0.623,44.57773157279264,42.8252779046081,nan,44.24529300634134,24.03969750167219,0.2012837660325469,0.1462480294523273,22.901458296548107
215821,RED,1.287,44.56257535021943,nan,42.687558,44.23256177977733,24.12986847891921,0.2483886672125439,0.1423045885627845,23.5646660535534
216308,RED,3.3632,44.33450241050333,nan,42.690067,44.04098051639726,23.98922942823837,0.2098680837564793,0.1450535935613172,22.71683772643067
221280,RED,2.2348,45.21990138159254,nan,43.266872,44.59795887548093,23.97405829456442,0.2098604302178203,0.1443446266694434,23.096910019022353
221793,RED,1.9672,44.59548719490974,nan,43.071589,44.26020772845404,23.86504319150452,0.2136842956944185,0.1606610019827527,22.045349873240905
221933,RED,3.4885,45.44822804347781,nan,43.74667,44.68928954159598,23.65086996841181,0.2571725449437158,0.2049558031252424,21.78001471133728
223756,RED,2.0787,45.23582582231928,nan,43.165941,44.60432865186655,24.05295206861349,0.2066117031922505,0.1447110243740959,nan
223968,RED,1.3709,44.08930992716782,nan,42.673226,43.83501883682586,23.84451630601083,0.2168798781793083,0.1630500847276645,22.363987807256898
224665,RED,2.3011,45.56462928661891,nan,43.285915,44.73585003954622,24.06128273702298,0.1990106284953373,0.1388576637746791,nan
226472,RED,2.3249,44.38724948612494,nan,42.722975,44.08528805853607,23.99795223601703,0.2042075343324174,0.1456908338854716,nan
228653,RED,3.4372,45.48015383604811,nan,43.117067,44.70205985881439,24.15871792666445,0.2714982751631795,0.1404041727796419,22.43028470607612
230426,RED,2.5113,43.83479821432967,nan,43.426624,43.62122900471665,21.95693384893842,2.923169595014669,0.385901776520662,22.923761952594617
234745,RED,1.0769,43.98061309454794,nan,42.690067,43.74371350027585,23.7617638854131,0.2226954335232757,0.1810122674835989,nan
238114,RED,1.4219,44.55766335280651,nan,42.647455,44.2284357020793,24.15582342374361,0.2745115279968057,0.1382790414477013,22.27184159481183
239310,RED,1.154,44.49281725078891,nan,42.68168,44.17396497808517,24.09183538710431,0.2113419656821814,0.1442847305457542,nan
239627,RED,1.7982,44.51923254836487,nan,42.880754,44.19615382735621,23.96205473304059,0.2086046321750621,0.1451434704082349,22.313403174278175
240778,RED,2.1029,45.2284319531341,nan,43.22268,44.60137110414841,24.00988499941767,0.2094215123415555,0.1450045756421023,20.954242874684983
243027,RED,2.0661,44.13007959947353,nan,43.197278,43.86926536049343,23.31904716773306,0.4072072456772127,0.2792436433591745,22.75739601505695
245362,RED,2.4983,44.35869207057033,nan,43.516874,44.06129983021914,23.0955237632452,0.605857270875394,0.3243868533661449,22.88337748855821
251243,RED,0.7507,42.84418840105133,nan,42.033051,42.78911678754262,23.44070860105442,0.3452389673162352,0.2499314143846231,22.350364338798638
251852,RED,2.0037,44.90171473736731,nan,43.149906,44.4706842158943,23.96617021845268,0.2053110372797494,0.1473342684959965,22.489958460930392
253510,RED,2.2262,44.72688064718569,nan,43.309228,44.37057822491992,23.76765869315464,0.2090997684430835,0.179766262177544,nan
255123,RED,0.775,43.87571358220056,42.94291008279377,nan,43.65559791265515,23.37794072240505,0.3758144153155779,0.266943484889228,22.250420390446486
257247,RED,1.3434,44.88090578404495,nan,42.89462,44.46236063444132,24.14627159987911,0.2583914359497173,0.1395545090367759,23.1702617216207
