ID,Group,z,Kelly_Lx,Auge_Lx
443935,GRN,2.790000,44.672580,44.672579
444034,BLU,0.704000,43.219000,43.580513
444473,RED,2.126300,-99.000000,nan
444480,BLU,0.890000,43.000000,43.704846
444717,BLU,1.606000,43.482000,44.124844
445280,BLU,1.474000,43.830000,44.004845
445312,BLU,1.190000,43.522087,43.654842
445347,BLU,2.337000,43.458000,43.692332
445389,RED,1.068300,-99.000000,nan
445448,BLU,2.233000,43.951607,43.951608
445486,GRN,2.911000,44.173000,44.434845
445878,BLU,1.020000,43.056664,43.056662
445960,BLU,1.791000,43.396000,43.800504
446143,BLU,2.239000,44.101112,44.101113
446319,BLU,1.933000,43.277000,43.277000
446438,RED,2.929000,-99.000000,nan
446680,GRN,2.146000,43.613000,43.612999
447092,BLU,0.970000,44.158535,44.294846
447171,GRN,1.784000,44.237000,44.414845
447224,GRN,2.071000,44.161000,44.354843
447600,BLU,1.108000,43.050000,43.274025
447837,GRN,2.439000,44.570713,44.570713
448160,GRN,0.865000,43.980570,44.074844
448282,GRN,2.347000,44.549000,44.624844
448318,BLU,1.541000,44.094000,44.354843
448411,BLU,0.926000,44.366000,44.434845
448517,GRN,1.541000,44.456000,44.544846
448782,GRN,2.497000,44.111546,45.074844
448996,GRN,1.592000,43.690100,44.184845
449276,GRN,1.679000,44.688370,44.714844
449364,GRN,2.503000,44.467000,44.664845
450105,BLU,3.960000,44.490524,45.224842
450233,RED,1.699600,-99.000000,nan
450661,RED,2.341900,-99.000000,nan
451179,GRN,2.825000,43.878000,43.877998
451334,BLU,2.762000,43.852000,43.852001
451554,BLU,1.117000,43.112000,43.112000
452058,BLU,2.017000,44.251000,44.664845
452169,GRN,1.334000,44.190000,44.374844
452694,BLU,1.842000,43.374000,43.374001
452901,GRN,1.786000,43.833755,43.833755
453243,RED,0.278200,-99.000000,nan
453309,BLU,1.424000,43.063000,43.408823
453781,BLU,1.324000,43.574000,43.814842
453789,BLU,2.341000,44.254670,44.324844
453882,BLU,1.260000,43.439000,43.714844
453918,RED,2.751100,-99.000000,nan
454474,GRN,1.597000,44.376000,44.474842
454647,BLU,2.310000,43.519000,43.866755
454808,BLU,1.482000,43.797000,44.124844
454812,BLU,0.976000,43.902885,44.084843
454916,GRN,1.697000,43.852000,43.964844
455313,GRN,2.444000,43.924713,43.924713
455355,RED,2.079400,-99.000000,nan
455563,BLU,1.900000,43.546060,43.546059
455603,GRN,2.231000,44.723000,44.944843
455625,BLU,1.148000,43.274906,43.274905
455845,BLU,0.673000,43.045210,43.564842
455942,BLU,1.928000,43.229000,43.503906
456808,GRN,1.000000,44.241463,44.374844
456825,BLU,0.983000,43.821000,43.804844
456984,BLU,1.827000,43.601475,43.601475
457171,GRN,1.332000,43.433000,43.664845
457348,RED,2.159600,-99.000000,nan
458021,BLU,0.988000,43.305630,43.305630
458826,BLU,1.599000,44.021000,44.304844
459149,RED,3.105700,-99.000000,nan
459183,BLU,2.079000,43.914665,43.914664
459421,BLU,1.169000,43.689000,43.714844
459501,BLU,2.372000,44.496000,44.644844
459617,BLU,0.979000,43.725000,43.564842
459682,GRN,1.991000,43.873350,43.873349
460385,BLU,2.709000,44.417393,45.214844
460918,BLU,1.171000,44.138000,44.204846
460965,GRN,1.518000,44.202000,44.264843
461168,BLU,1.591000,44.003757,43.994843
461606,GRN,1.241000,45.025000,45.064842
462238,GRN,2.218000,43.461000,43.673538
462290,GRN,1.784000,44.671783,44.774845
462601,BLU,1.493000,43.173000,43.173000
463633,BLU,2.622000,44.893913,45.094845
463657,BLU,1.827000,43.804000,43.864845
464014,RED,2.909300,-99.000000,nan
464056,BLU,0.987000,43.305000,43.474842
464309,GRN,1.806000,44.346000,44.384842
464786,BLU,2.227000,43.379000,43.379002
465153,BLU,1.248000,44.103000,44.234844
465158,BLU,0.352000,43.246000,43.154842
465262,BLU,2.852000,43.855015,43.855013
465265,BLU,1.523000,43.482697,43.482696
465316,GRN,1.923000,44.546000,44.624844
465475,BLU,0.915000,43.134000,43.404842
465515,BLU,0.822000,43.298540,43.298538
465681,BLU,1.899000,43.422000,43.735365
466118,RED,2.393900,-99.000000,nan
466186,RED,0.479800,-99.000000,nan
466293,BLU,2.810000,44.113014,44.704846
466461,BLU,0.696000,43.122498,43.444843
466580,BLU,1.033000,43.959000,43.944843
466840,BLU,1.623000,43.559770,43.559769
466941,BLU,0.850000,43.408000,43.444843
467289,BLU,1.171000,43.250000,43.250000
467878,RED,2.605200,-99.000000,nan
468246,BLU,0.930000,43.149532,43.149531
468408,GRN,1.268000,43.892113,44.164845
468467,BLU,1.757000,43.761000,45.144844
468485,GRN,1.481000,44.298000,44.364845
468608,BLU,1.092000,43.101000,43.344845
468771,GRN,1.776000,44.111595,44.074844
469052,BLU,1.182000,43.042152,43.042151
469153,RED,1.333800,-99.000000,nan
469310,BLU,1.406000,43.386353,43.386351
469339,GRN,0.967000,44.543000,44.544846
469444,BLU,1.283000,43.889248,43.889246
469879,BLU,2.053000,44.167995,44.624844
470092,BLU,1.847000,43.954000,43.994843
471165,BLU,0.796000,43.213220,43.424843
471549,BLU,2.209000,43.539000,43.539001
471626,GRN,2.283000,44.383000,44.574844
471767,GRN,2.671000,44.728000,44.874844
471968,BLU,1.360000,43.124000,43.124001
472266,BLU,1.883000,43.754790,44.184845
472279,BLU,2.686000,44.475000,44.704846
472392,BLU,1.360000,44.317000,44.364845
472876,BLU,1.518000,44.282000,44.474842
473114,GRN,2.498000,44.938000,45.054844
473242,BLU,1.551000,43.762424,44.104843
473519,BLU,1.377000,43.413000,43.514843
474687,BLU,1.478000,43.657000,44.214844
474750,BLU,0.950000,43.305824,43.834843
475006,BLU,1.790000,44.095830,44.334843
475206,RED,0.430000,-99.000000,nan
475291,BLU,1.147000,43.114000,43.471534
475479,BLU,3.546000,43.931000,43.931000
475665,BLU,1.910000,43.816000,44.004845
475702,BLU,2.153000,43.572000,43.571999
475972,BLU,0.622000,43.680088,43.634842
477125,GRN,1.947000,44.072000,44.124844
477130,BLU,2.808000,44.507282,44.444843
477386,BLU,1.588000,43.740000,43.974842
478024,BLU,2.282000,43.764000,43.764000
478302,BLU,1.391000,43.859000,43.874844
478338,RED,3.146700,-99.000000,nan
478411,BLU,1.193000,43.417362,43.417363
478515,BLU,1.853000,43.458000,43.458000
478776,BLU,2.918000,44.327000,44.524845
478944,BLU,2.575000,43.969000,43.969002
480904,BLU,0.638000,43.233902,43.374844
481172,GRN,1.753000,44.930000,45.094845
481664,GRN,1.950000,44.081210,44.384842
481762,BLU,0.899000,43.949944,44.004845
482212,RED,1.464200,-99.000000,nan
482216,BLU,1.231000,44.174000,44.204846
482220,BLU,1.198000,43.420444,43.584843
482650,RED,0.697400,-99.000000,nan
483000,RED,1.826500,-99.000000,nan
483016,BLU,1.733000,43.188000,43.188000
483133,BLU,2.524000,44.005000,44.184845
483395,BLU,1.092000,43.153180,43.153181
483433,BLU,2.443000,43.605000,43.605000
483880,BLU,2.232000,43.559000,43.890612
484342,RED,0.066000,41.887000,42.794846
484953,BLU,1.339000,43.965965,44.254845
485106,RED,2.364100,-99.000000,nan
485277,GRN,1.480000,44.584000,44.874844
485406,GRN,1.850000,44.882000,44.914845
485550,RED,1.576500,-99.000000,nan
486067,BLU,0.971000,44.278000,44.364845
486110,BLU,1.809000,43.501465,43.501463
486183,BLU,1.697000,43.715130,43.715131
486220,GRN,3.499000,44.528000,44.644844
486302,BLU,1.822000,43.377045,43.377044
487345,BLU,1.915000,43.478000,43.478001
487555,BLU,1.248000,43.742000,43.824844
487714,BLU,1.370000,43.887000,43.964844
487826,BLU,0.368000,43.054665,43.454846
487846,RED,1.425300,-99.000000,nan
488068,RED,1.559200,-99.000000,nan
488359,BLU,1.989000,43.642000,44.008530
488464,BLU,0.979000,43.411602,43.411603
488484,BLU,0.974000,43.102486,43.102486
488986,BLU,1.313000,43.728058,44.234844
489390,RED,0.842000,-99.000000,nan
489434,BLU,1.697000,43.764000,44.095614
489491,BLU,1.961000,44.080986,44.454846
489601,RED,0.775300,-99.000000,nan
490038,GRN,1.178000,44.390000,44.484844
490692,GRN,1.429000,44.659000,44.754845
491067,BLU,1.171000,44.274000,44.414845
491658,RED,1.244100,-99.000000,nan
491819,GRN,2.198000,44.346000,44.474842
492525,RED,0.370000,42.089714,42.089714
492534,RED,0.550000,42.773430,43.314842
493877,BLU,1.854000,44.243000,44.414845
493981,BLU,1.121000,43.073000,43.594845
494175,BLU,2.584000,44.350178,45.004845
494577,GRN,0.669000,44.165000,44.174843
