ID,2016,2020
215821,-99,206311
215405,-99,206362
216308,-99,207338
218496,-99,210415
219599,-99,211729
221224,-99,214321
221280,-99,214504
221793,-99,215602
221933,-99,215732
222912,-99,216933
223559,-99,218059
223756,-99,218378
223968,-99,218511
224665,-99,219968
225931,-99,221486
226195,-99,221753
225978,-99,221969
226837,-99,222904
226472,-99,223012
228653,-99,224748
230426,-99,227915
234115,-99,233290
234745,-99,235577
237984,-99,239115
238114,-99,239140
239310,-99,241587
239627,-99,241782
240778,-99,244239
242674,-99,245363
241833,-99,245435
241872,-99,245456
242131,-99,246781
243027,-99,247307
244407,-99,249714
245362,-99,251002
246403,-99,252183
251243,-99,259456
251852,-99,260537
253510,-99,263691
255068,-99,265781
255419,-99,265909
256067,-99,267132
257247,-99,268792
256906,-99,268812
257108,-99,269733
257886,-99,270522
258594,-99,271852
259215,-99,275112
261822,-99,277133
262857,-99,278402
262904,-99,278423
262398,-99,281249
265974,-99,283617
266916,-99,284543
266346,-99,284551
266985,-99,284722
270303,-99,289968
271182,-99,291466
271439,-99,291723
272293,-99,293132
272738,-99,293819
273170,-99,294528
273260,-99,294760
274051,-99,295542
273594,-99,295645
273736,-99,295669
275098,-99,297536
274371,-99,297572
275452,-99,298422
275629,-99,299061
278898,-99,304405
279689,-99,305042
280625,-99,306475
281548,-99,308116
281637,-99,308172
282047,-99,308574
282933,-99,309427
282712,-99,309904
283629,-99,311011
284435,-99,312145
285984,-99,314816
285385,-99,315061
287155,-99,316903
287834,-99,318563
288944,-99,319456
288793,-99,320296
292294,-99,325104
293474,-99,327324
295141,-99,330141
295809,-99,331347
296610,-99,332159
299893,-99,337855
300272,-99,338289
300196,-99,341997
302423,-99,342277
302180,-99,342402
303302,-99,343446
303625,-99,344323
304928,-99,345727
304818,-99,346840
306231,-99,348099
307055,-99,349528
306758,-99,350095
308287,-99,351913
309365,-99,353290
309400,-99,353795
310330,-99,354935
310959,-99,356018
311246,-99,356450
311141,-99,356553
311998,-99,357460
312106,-99,359019
314341,-99,361477
314722,-99,362255
314810,-99,362715
315759,-99,363991
316239,-99,365268
317748,-99,366936
317991,-99,367778
318426,-99,368240
318945,-99,368251
319744,-99,370524
321176,-99,373614
325140,-99,379246
325177,-99,381054
326576,-99,381963
328104,-99,384305
328457,-99,384596
329963,-99,387192
330332,-99,387202
332182,-99,389700
334665,-99,395505
335753,-99,396345
336903,-99,397926
338083,-99,399951
337738,-99,400359
338765,-99,401122
339439,-99,402377
340238,-99,403652
341292,-99,405258
