ID,GROUP,Z,LOG_LIR,LOG_LX_INT,LOG_LX,LOG_LXLIM,LOG_LXIR_THEORY,LOG_NH_THEORY,SIG_POS_THEORY,SIG_NEG_THEORY,LOG_LXIR_INTRIN,LOG_NH_INTRIN,SIG_POS_INTRIN,SIG_NEG_INTRIN
      831978,BLU,  1.00000, 44.40289, 43.88484, 43.33100,      NaN, 44.09842, 23.45714,  0.34880,  0.25142, 43.88484, 23.11374,  0.57488,  0.32025
      833042,BLU,  1.44200, 43.58360, 43.43500, 43.43500,      NaN, 43.41022, 21.00000,  4.49158,  0.00000, 43.43500, 21.00000,  5.18240,  0.02291
      833221,BLU,  2.46000, 42.26184, 44.47484, 44.14000,      NaN, 42.29994, 21.00000,  0.00000,  0.00000, 44.47484, 22.56076,  1.21858,  0.39607
      832754,BLU,  1.35000, 43.85224, 43.32300, 43.32300,      NaN, 43.63588, 22.48854,  1.30894,  0.39960, 43.32300, 21.00000,  5.55792,  0.00779
      833950,BLU,  0.74500, 43.54648, 43.66484, 43.51700,      NaN, 43.37904, 21.00000,  0.71999,  0.00000, 43.66484, 21.70477,  3.98821,  0.35174
      837226,BLU,  0.50100, 43.03252, 43.60484, 43.51000,      NaN, 42.94732, 21.00000,  0.00000,  0.00000, 43.60484, 21.43288,  4.84463,  0.27086
      838188,BLU,  1.74100, 42.18376, 43.63743, 43.33900,      NaN, 42.23436, 21.00000,  0.00000,  0.00000, 43.63743, 22.43013,  1.38878,  0.40070
      837613,BLU,  1.52000, 44.51906, 44.45485, 44.00900,      NaN, 44.19601, 21.91570,  2.78754,  0.38457, 44.45485, 22.87777,  0.79469,  0.36615
      836473,BLU,  1.45500, 43.61410, 43.40659, 43.17300,      NaN, 43.43585, 22.28627,  1.71482,  0.40384, 43.40659, 22.15122,  2.03668,  0.40305
      838473,BLU,  0.72000, 43.88544, 43.55484, 43.56000,      NaN, 43.66377, 21.47620,  4.62739,  0.29155, 43.55484, 21.00000,  4.66068,  0.00000
      837364,BLU,  1.59000, 44.09802, 43.42200, 43.42200,      NaN, 43.84234, 22.81439,  0.87903,  0.37274, 43.42200, 21.00000,  5.48642,  0.01131
      840278,BLU,  0.95800, 43.69183, 43.10444, 42.92200,      NaN, 43.50113, 23.16267,  0.52348,  0.31087, 43.10444, 21.89084,  3.01219,  0.37987
      840220,BLU,  1.73900, 43.30534, 44.59484, 44.37000,      NaN, 43.17649, 21.00000,  0.00000,  0.00000, 44.59484, 22.10865,  2.20954,  0.40041
      841730,BLU,  1.95400, 44.28449, 44.49484, 44.08500,      NaN, 43.99897, 21.00000,  1.60396,  0.00000, 44.49484, 22.78833,  0.87621,  0.38227
      841798,BLU,  1.16400, 43.89004, 44.63484, 44.49700,      NaN, 43.66763, 21.00000,  0.00000,  0.00000, 44.63484, 21.65248,  4.14935,  0.33399
      841708,BLU,  2.55200, 44.20606, 44.07000, 44.07000,      NaN, 43.93309, 21.00000,  0.67237,  0.00000, 44.07000, 21.00000,  5.63953,  0.00000
      842326,BLU,  0.62600, 43.06863, 43.38484, 42.86100,      NaN, 42.97765, 21.54172,  4.44610,  0.30857, 43.38484, 23.05570,  0.62412,  0.33420
      843284,BLU,  3.28600, 45.57079, 44.48484, 44.45500,      NaN, 44.73832, 22.36902,  1.58180,  0.40187, 44.48484, 21.13046,  5.77282,  0.09581
      843218,BLU,  2.01600, 44.92315, 44.11421, 43.99100,      NaN, 44.47926, 22.98311,  0.65994,  0.34784, 44.11421, 21.57599,  4.51967,  0.31870
      843441,BLU,  0.81700, 43.33468, 43.81484, 43.64300,      NaN, 43.20113, 21.00000,  0.00000,  0.00000, 43.81484, 21.83331,  3.47564,  0.36929
      844372,BLU,  1.01300, 44.03198, 43.37484, 43.18600,      NaN, 43.78686, 23.20471,  0.49909,  0.30334, 43.37484, 21.92564,  2.75222,  0.38369
