ID,GROUP,Z,NH,isCOSMOS
197038,RED,0.518,22.122609016125892,1
204337,RED,0.623,22.499687081650922,1
255123,RED,0.775,22.064457961046887,1
333394,RED,0.672,22.56466606421219,1
378815,RED,0.66,22.89209462314826,1
379110,RED,2.8422,21.301030126610634,1
484342,RED,1.5765,21.99611746046571,1
492525,RED,0.37,22.08990508908536,1
543297,RED,2.5232,21.819579897950508,1
809278,RED,0.736,22.963315486004035,1
847062,RED,0.419,21.76319576800912,1
880811,RED,0.71,23.02530586301267,1
1043926,RED,0.934,22.625312435767093,1
100728,GRN,2.649,23.5646660535534,1
110707,GRN,1.5,22.71683772643067,1
123228,GRN,1.029,22.045349873240905,1
145252,GRN,1.47,22.43028470607612,1
150058,GRN,1.106,22.313403174278175,1
150214,GRN,0.851,20.954242874684983,1
155074,GRN,1.663,22.350364338798638,1
161349,GRN,0.977,22.235301134259682,1
164133,GRN,1.031,21.78189889543376,1
166981,GRN,2.455,22.755951043516287,1
167507,GRN,2.735,23.51982796877943,1
167601,GRN,0.285,23.268109753512277,1
169542,GRN,0.481,21.11394365486381,1
172708,GRN,2.43,23.40823997401549,1
174129,GRN,0.504,22.1367209115821,1
177697,GRN,1.813,23.403120513089164,1
178236,GRN,2.203,22.82981817583802,1
179631,GRN,1.171,22.351603048685117,1
191981,GRN,1.747,22.530686227929692,1
192185,GRN,2.275,23.20112390062203,1
192643,GRN,0.599,22.17420520408037,1
193212,GRN,1.361,22.2174850725511,1
200240,GRN,1.822,23.16196660780889,1
201389,GRN,1.239,22.798650625240086,1
201555,GRN,3.343,23.086359801803688,1
202984,GRN,1.757,23.008174160169908,1
205954,GRN,1.166,22.773054658004753,1
206533,GRN,1.982,23.90579587316473,1
208739,GRN,0.772,23.26717172934257,1
210704,GRN,1.668,22.988112798874965,1
212499,GRN,2.841,23.752048441648377,1
213360,GRN,2.255,22.6756683905902,1
215142,GRN,1.285,21.869232129028138,1
217425,GRN,2.408,23.145227468095975,1
220551,GRN,1.941,22.826851922102456,1
223951,GRN,1.592,22.128518804464974,1
228670,GRN,2.389,22.41995581471269,1
229549,GRN,1.273,23.761927819312824,1
229938,GRN,1.617,22.701395240397943,1
231837,GRN,2.497,22.290034932726098,1
233605,GRN,0.748,21.46239822263548,1
235265,GRN,0.521,21.230449442423712,1
238668,GRN,2.463,22.973127835643957,1
240362,GRN,0.893,22.889525779874692,1
242550,GRN,0.694,23.04921799208142,1
244448,GRN,1.518,22.430381462145778,1
249669,GRN,1.317,22.442197446396566,1
253494,GRN,1.562,22.096910277199548,1
254070,GRN,1.233,23.329601251909473,1
254973,GRN,1.79,22.110589990259136,1
255148,GRN,2.101,22.657247088729317,1
255653,GRN,2.026,22.184237030081825,1
261602,GRN,0.878,22.551083832348443,1
262286,GRN,1.11,24.756878631616775,1
262516,GRN,0.865,22.791199248949994,1
263032,GRN,2.055,22.289254384454324,1
264041,GRN,1.662,23.761927819312824,1
264232,GRN,2.218,22.245512996016494,1
264418,GRN,2.276,22.49306748615517,1
