ID,GROUP,Z,LOG_LIR,LOG_LX_INT,LOG_LX,LOG_LXLIM,LOG_LXIR_THEORY,LOG_NH_THEORY,SIG_POS_THEORY,SIG_NEG_THEORY,LOG_LXIR_INTRIN,LOG_NH_INTRIN,SIG_POS_INTRIN,SIG_NEG_INTRIN,LOG_NH_COSMOS
946476,GRN,3.535,45.24639,44.85484,44.598,nan,44.60856,21.04615,5.41073,0.0433,44.85484,22.26201,1.77198,0.40324,23.22798943757076
946957,BLU,3.117,43.38819,44.05701,43.778,nan,43.24608,21.0,0.0,0.0,44.05701,22.35163,1.65374,0.40438,21.845098533323913
947453,GRN,1.889,45.50468,44.60484,44.465,nan,44.71187,22.21589,1.97872,0.40308,44.60484,21.66294,4.06097,0.33887,22.806451307994784
947471,GRN,2.222,45.25248,45.16484,45.051,nan,44.61099,21.0,0.0,0.0,45.16484,21.52708,4.81963,0.30436,22.411620099637474
947828,RED,3.2316,44.79444,nan,nan,43.66648,44.42777,23.44827,0.3541,0.25337,44.42777,23.44827,0.34111,0.25201,nan
948105,BLU,1.004,44.57647,44.01484,43.721,nan,44.24423,23.05452,0.62414,0.3372,44.01484,22.41158,1.48973,0.40113,21.740362973244608
948765,BLU,0.734,43.49106,43.66484,43.577,nan,43.33249,21.0,0.0,0.0,43.66484,21.39889,5.15654,0.26286,23.880241778116538
948864,BLU,2.293,44.1773,43.87322,43.549,nan,43.90893,22.64047,1.06256,0.39242,43.87322,22.52702,1.31773,0.40016,21.98677190207483
949132,GRN,0.821,44.65967,44.34484,44.272,nan,44.31412,21.18413,5.52148,0.16576,44.34484,21.32604,5.62481,0.22115,21.640421772221664
949151,GRN,1.89,45.6678,44.83484,44.546,nan,44.77712,22.13918,2.1836,0.40216,44.83484,22.39136,1.53583,0.40232,22.24054940276454
949168,BLU,1.259,43.63456,44.06484,43.9,nan,43.45303,21.0,0.0,0.0,44.06484,21.79529,3.53002,0.36384,nan
949321,GRN,1.855,45.16004,43.97069,43.621,nan,44.57401,23.66164,0.24986,0.20131,43.97069,22.60793,1.15043,0.39491,23.813580947088347
949619,BLU,2.636,44.27921,43.666,43.666,nan,43.99454,22.54073,1.20228,0.39972,43.666,21.0,5.31026,0.0,nan
950319,BLU,1.641,44.90267,43.94207,43.523,nan,44.47107,23.65652,0.25657,0.20178,43.94207,22.81126,0.87649,0.37509,22.330819426547666
950643,BLU,0.95,43.75839,43.48,43.48,nan,43.55705,21.34645,5.17062,0.23149,43.48,21.0,5.6424,0.00793,21.7415848823769
950772,BLU,1.025,44.33282,43.50484,43.301,nan,44.03957,23.41539,0.37592,0.25735,43.50484,22.00638,2.88779,0.3863,nan
950905,BLU,1.447,43.8494,43.88484,43.745,nan,43.63349,21.0,1.09909,0.0,43.88484,21.66294,4.09492,0.33844,22.079181733536192
951101,BLU,0.877,44.03277,44.58484,44.478,nan,43.78752,21.0,0.0,0.0,44.58484,21.49115,4.6287,0.29498,23.32633585867665
951207,BLU,1.221,43.22179,43.307,43.307,nan,43.10631,21.0,0.15191,0.0,43.307,21.0,5.18706,0.0,23.30903363951447
951838,RED,3.0082,45.57645,nan,nan,40.47769,44.74058,25.0,0.0,0.0,44.74058,25.0,0.0,0.0,nan
951915,BLU,1.717,43.88001,43.96484,43.583,nan,43.65921,21.34237,5.16232,0.23715,43.96484,22.71007,0.9903,0.38741,23.92116604944761
952044,GRN,2.225,45.39487,44.45413,44.306,nan,44.66795,22.64687,1.02406,0.39285,44.45413,21.70625,4.05307,0.34898,23.10720997835151
953044,BLU,1.581,42.33638,43.96484,43.607,nan,42.36256,21.0,0.0,0.0,43.96484,22.63383,1.09957,0.39362,22.79281176552333
953097,BLU,0.803,43.03576,43.0249,42.681,nan,42.95004,22.31132,1.73697,0.40285,43.0249,22.58954,1.13581,0.39683,22.8122446708936
953566,RED,2.5451,45.51545,nan,nan,43.45894,44.71618,23.91755,0.20932,0.14667,44.71618,23.91755,0.21277,0.1467,nan
953656,BLU,0.743,43.73219,43.40484,42.978,nan,43.53504,23.11992,0.56832,0.32157,43.40484,22.83056,0.87509,0.37686,22.74710090926715
953879,BLU,2.106,44.86482,43.69846,43.59,nan,44.45593,23.57139,0.28931,0.21804,43.69846,21.49902,4.87101,0.29064,22.472418530925342
953926,GRN,1.454,45.028,44.52485,44.446,nan,44.5212,21.33748,5.32992,0.22874,44.52485,21.35518,4.94619,0.2425,21.68124144981756
956585,GRN,0.5,43.99953,43.49484,43.469,nan,43.75961,22.39849,1.45293,0.40267,43.49484,21.11296,5.74387,0.09409,21.113943560830766
956746,BLU,1.451,44.29148,43.038,43.038,nan,44.00484,23.67598,0.2506,0.19866,43.038,21.0,5.19098,0.02331,22.67851835218564
956759,GRN,1.527,44.03785,44.03484,43.705,nan,43.79179,21.39375,5.23433,0.25164,44.03484,22.54487,1.21675,0.39867,22.668665418489027
956962,BLU,1.114,43.88077,43.28428,43.13,nan,43.65985,23.06732,0.6354,0.33611,43.28428,21.7384,3.56086,0.35986,nan
957291,GRN,2.034,44.69849,43.92647,43.809,nan,44.34673,23.08257,0.61849,0.33038,43.92647,21.54605,4.6178,0.30942,22.843855410748642
957935,GRN,2.861,44.65907,43.895,43.895,nan,44.31361,22.81012,0.8743,0.37879,43.895,21.0,5.23903,0.00501,nan
958087,BLU,1.264,44.01967,43.279,43.279,nan,43.77653,23.00479,0.64322,0.34657,43.279,21.0,5.10206,0.0,nan
958542,GRN,1.205,44.29639,43.73484,43.59,nan,44.00897,22.811,0.90103,0.37976,43.73484,21.68908,3.81153,0.3448,22.907180173316874
958682,GRN,1.228,44.42065,44.07484,43.769,nan,44.11334,22.59093,1.13547,0.39631,44.07484,22.46009,1.42598,0.40104,22.610766579101696
958752,RED,3.2148,44.80105,nan,nan,43.60312,44.43042,23.53136,0.30903,0.22702,44.43042,23.53136,0.30817,0.23229,nan
958853,BLU,0.76,43.22552,43.52485,43.157,nan,43.10944,21.0,2.93617,0.0,43.52485,22.6656,1.04331,0.39019,22.640093701047277
958959,BLU,1.703,44.03965,43.773,43.773,nan,43.7933,21.08875,5.7201,0.08453,43.773,21.0,5.26337,0.00708,nan
959121,RED,3.2765,44.86804,nan,nan,43.54646,44.45721,23.61785,0.27382,0.20553,44.45721,23.61785,0.27341,0.21212,nan
959179,GRN,2.75,44.33099,44.84484,44.523,nan,44.03803,21.0,0.0,0.0,44.84484,22.51947,1.33055,0.40064,23.070776462848816
959304,BLU,1.984,44.17002,43.89948,43.674,nan,43.90282,22.128,2.29942,0.40074,43.89948,22.11175,2.17516,0.40249,23.413299758979456
959416,BLU,1.14,44.72106,45.46484,43.303,nan,44.36569,23.76868,0.22514,0.18086,45.46484,24.95353,0.05692,0.2759,24.664641977777183
959558,BLU,1.258,44.43203,44.83484,43.62,nan,44.1229,23.01519,0.64373,0.34492,44.83484,23.88511,0.21962,0.15211,23.829946670106196
960163,RED,1.4476,44.1613,nan,nan,42.69007,43.89549,23.8779,0.2147,0.15669,43.89549,23.8779,0.21347,0.16078,nan
960437,BLU,2.021,43.33131,44.16181,43.945,nan,43.1983,21.0,0.0,0.0,44.16181,22.06952,2.28093,0.39838,22.959518344582317
960955,RED,3.1461,45.07345,nan,nan,43.64029,44.53938,23.60576,0.27161,0.21151,44.53938,23.60576,0.27553,0.21166,nan
961107,BLU,1.117,43.40876,43.41751,43.212,nan,43.26336,21.22451,5.71473,0.16788,43.41751,22.0145,2.51783,0.39279,22.88337748855821
961208,GRN,2.129,44.54101,44.46484,44.35,nan,44.21445,21.0,0.8275,0.0,44.46484,21.5323,4.38931,0.30975,22.298853111988386
961220,BLU,2.0,44.78384,44.36485,44.194,nan,44.41842,22.10658,2.20661,0.40091,44.36485,21.8279,3.38091,0.36887,nan
961361,RED,2.3653,44.99313,nan,nan,43.16062,44.50725,23.98595,0.20227,0.14497,44.50725,23.98595,0.19993,0.14271,nan
962023,RED,2.4893,45.41439,nan,nan,43.40589,44.67575,23.92721,0.21173,0.14627,44.67575,23.92721,0.20621,0.14492,nan
962054,GRN,0.505,43.35623,43.36485,43.116,nan,43.21923,21.4736,5.10336,0.28326,43.36485,22.22551,1.94214,0.40128,22.17695899203553
962101,BLU,2.755,44.91064,44.74484,44.825,nan,44.47425,21.0,0.0,0.0,44.74484,21.0,1.92858,0.0,22.390935402779885
