ID,i COSMOS2020, i CHANDRA 2016
678793,961335,239
679413,962264,1430
680726,964182,1710
681237,964985,1701
681303,964984,228
683219,967877,1196
684158,969451,585
684508,970228,225
687071,974180,1612
687898,975609,1525
688136,976454,1348
688457,977791,3930
689768,978960,2243
692655,983171,2229
694697,986734,3924
695445,988382,3846
695834,988782,240
698041,991940,476
698738,993423,3928
698983,994586,1629
699088,993772,3929
701418,996837,1711
703122,1000297,1693
706615,1005785,1260
707749,1007631,3833
709137,1008915,3841
709713,1012329,1263
711692,1014351,1292
711809,1014561,1351
713253,1016667,1721
714401,1019202,1715
714907,1019602,1658
717817,1025331,1270
719096,1026577,1293
719155,1026707,3836
719811,1027499,1352
720578,1028704,22
720608,1029215,1692
722533,1036749,3826
725161,1041561,3838
725672,1036755,1494
725685,1037918,473
726941,1038883,2125
726986,1039921,1680
729557,1042601,3567
729570,1043217,1169
733581,1050347,1417
733937,1049968,2277
734723,1051798,1415
734769,1051392,1581
734950,1051657,1688
735335,1052287,1413
736288,1054201,1637
737008,1054817,484
737473,1057074,1420
738308,1055508,1409
748454,1073357,1277
750623,1076426,2383
751736,1078035,1694
752983,1080227,1521
753049,1079857,205
754369,1080846,2320
754797,1083029,2916
754804,1082720,2914
757535,1087720,1416
759628,1091064,1398
761839,1094356,1572
763569,1097028,1433
763929,1102333,2686
764269,1097414,2697
765037,1099622,3497
767177,1102906,1399
770406,1107615,2679
772453,1111199,1475
775204,1115289,1589
776222,1117100,1279
776400,1119238,2275
777034,1118716,1537
778213,1123824,308
778366,1122018,85
779091,1122903,1287
779324,1122098,2355
780589,1125001,143
782363,1132892,2319
782462,1127094,356
782508,1128466,2673
783183,1129013,2270
785300,1132476,705
786952,1134664,73
788577,1137323,1728
793328,1144801,1322
793517,1144674,96
794848,1147951,1738
795729,1151336,209
797081,1151101,1937
804744,1161365,305
805709,1163503,2779
806263,1163557,2926
807633,1166364,154
810108,1170487,313
811548,1172007,2338
812877,1175299,132
813703,1175564,622
821027,1186961,1320
821742,1188011,365
822926,1191761,3004
824313,1193014,2325
825866,1195134,222
826133,1195689,1332
830656,1202440,1338
831683,1204888,487
833026,1205623,1401
834538,1208709,2794
834892,1209597,1337
834991,1208609,347
837822,1225965,2761
839943,1216775,1949
841354,1218831,1342
842703,1220976,593
843629,1222643,1325
844144,1223237,2269
844601,1224412,1484
844866,1225325,310
845164,1225285,2740
847794,1230074,1128
848845,1230730,2302
851874,1235187,2290
852753,1237246,374
854904,1239486,614
854964,1244489,2816
856252,1243752,448
856446,1243405,2171
856626,1243789,2306
858038,1245789,1483
859825,1250850,2307
860452,1248796,490
860628,1249134,489
862628,1253686,2358
869011,1264203,1774
871257,1267433,3615
872872,1270245,382
878244,1276285,3608
879281,1277646,2785
883444,1284972,506
884726,1287268,2335
884940,1287813,1394
885687,1288876,3594
887045,1290742,2329
889205,1294486,2850
890325,1296494,3665
897743,1309247,2911
901487,1313538,1388
904153,1318382,3628
904947,1319389,2247
905927,1322184,3692
906612,1323034,3019
908022,1324431,2988
912946,1331062,3466
915989,1336507,508
916518,1337022,2607
916982,1337897,1397
919030,1342326,3704
919414,1341893,3473
922433,1347828,3637
928556,1356411,2401
930093,1359690,497
930432,1359790,2870
930796,1360035,3025
933997,1367326,2966
934339,1372641,3773
935543,1368036,2833
936644,1369812,3712
937557,1371127,2614
939014,1374624,3078
939172,1376116,2323
942263,1378855,3810
942395,1379501,3713
946085,1390572,3161
946476,1386133,3811
947471,1387696,3722
949132,1390665,3664
949151,1390752,3891
952044,1395398,3710
953926,1402100,3949
956585,1404564,2479
957291,1404290,3675
957935,1405660,2530
958542,1406755,2974
958682,1406588,3002
959179,1407164,3950
961208,1410645,3883
962054,1412072,3462
966973,1420704,3663
970232,1426884,3512
970584,1425564,3885
971246,1426906,3546
972387,1437795,3672
974555,1432755,3963
975133,1433827,3043
976485,1435941,3688
978444,1438985,2595
981552,1443780,3122
982004,1445051,3201
982990,1446726,3769
984181,1446887,3321
985892,1450412,3660
986701,1455684,3747
987573,1453554,3957
987849,1454064,3539
988550,1454798,3484
989640,1456710,3951
989672,1456898,3318
992008,1460825,3762
992147,1460336,2497
992340,1460912,3959
993201,1462260,3156
993805,1466305,3386
995126,1465067,3726
995219,1466022,3128
997300,1469039,3193
999621,1472546,3297
1001309,1481083,3319
1002054,1476613,3110
1004988,1481198,3316
1013607,1494989,3526
1013783,1495560,3798
1014035,1496472,3805
1017482,1499693,3742
1021276,1506067,3528
1023312,1509491,3262
1024095,1509014,2503
1025621,1511867,2509
